Ticker,Total Trades,Wins,Losses,Win Rate (%),Total RR
INVES.IS,14,9,5,64.29,22.0
SASA.IS,8,5,3,62.5,12.0
VESBE.IS,8,5,3,62.5,12.0
ECZYT.IS,24,14,10,58.33,32.0
PENTA.IS,12,7,5,58.33,16.0
SELEC.IS,12,7,5,58.33,16.0
GARAN.IS,14,8,6,57.14,18.0
KCAER.IS,14,8,6,57.14,18.0
BUCIM.IS,7,4,3,57.14,9.0
IZENR.IS,16,9,7,56.25,20.0
OTKAR.IS,16,9,7,56.25,20.0
YKBNK.IS,13,7,6,53.85,15.0
AKBNK.IS,15,8,7,53.33,17.0
ECILC.IS,19,10,9,52.63,21.0
AKCNS.IS,26,13,13,50.0,26.0
KONYA.IS,20,10,10,50.0,20.0
KMPUR.IS,16,8,8,50.0,16.0
SOKM.IS,16,8,8,50.0,16.0
DOAS.IS,12,6,6,50.0,12.0
KAYSE.IS,2,1,1,50.0,2.0
BIOEN.IS,15,7,8,46.67,13.0
ISCTR.IS,15,7,8,46.67,13.0
ASELS.IS,18,8,10,44.44,14.0
AYDEM.IS,18,8,10,44.44,14.0
TCELL.IS,9,4,5,44.44,7.0
ODAS.IS,16,7,9,43.75,12.0
MGROS.IS,14,6,8,42.86,10.0
TKFEN.IS,14,6,8,42.86,10.0
HEKTS.IS,7,3,4,42.86,5.0
BRSAN.IS,19,8,11,42.11,13.0
CCOLA.IS,19,8,11,42.11,13.0
TAVHL.IS,12,5,7,41.67,8.0
THYAO.IS,22,9,13,40.91,14.0
CWENE.IS,20,8,12,40.0,12.0
KRDMD.IS,20,8,12,40.0,12.0
SAHOL.IS,20,8,12,40.0,12.0
HALKB.IS,15,6,9,40.0,9.0
AEFES.IS,10,4,6,40.0,6.0
AKSA.IS,23,9,14,39.13,13.0
VAKBN.IS,13,5,8,38.46,7.0
OYAKC.IS,21,8,13,38.1,11.0
AKSEN.IS,16,6,10,37.5,8.0
ENERY.IS,16,6,10,37.5,8.0
TTRAK.IS,16,6,10,37.5,8.0
SISE.IS,19,7,12,36.84,9.0
GESAN.IS,11,4,7,36.36,5.0
ULKER.IS,11,4,7,36.36,5.0
BERA.IS,14,5,9,35.71,6.0
GLYHO.IS,14,5,9,35.71,6.0
INVEO.IS,14,5,9,35.71,6.0
BIMAS.IS,17,6,11,35.29,7.0
ENJSA.IS,17,6,11,35.29,7.0
MIATK.IS,17,6,11,35.29,7.0
EUPWR.IS,20,7,13,35.0,8.0
ENKAI.IS,18,6,12,33.33,6.0
ISDMR.IS,18,6,12,33.33,6.0
ISMEN.IS,18,6,12,33.33,6.0
KCHOL.IS,18,6,12,33.33,6.0
HKTM.IS,15,5,10,33.33,5.0
CEMAS.IS,12,4,8,33.33,4.0
BIENY.IS,9,3,6,33.33,3.0
ZOREN.IS,6,2,4,33.33,2.0
DOHOL.IS,22,7,15,31.82,6.0
TUPRS.IS,19,6,13,31.58,5.0
BOBET.IS,16,5,11,31.25,4.0
BRYAT.IS,16,5,11,31.25,4.0
KARSN.IS,16,5,11,31.25,4.0
HLGYO.IS,13,4,9,30.77,3.0
AKFYE.IS,10,3,7,30.0,2.0
CIMSA.IS,17,5,12,29.41,3.0
GWIND.IS,17,5,12,29.41,3.0
PGSUS.IS,17,5,12,29.41,3.0
PNLSN.IS,17,5,12,29.41,3.0
GUBRF.IS,24,7,17,29.17,4.0
TOASO.IS,21,6,15,28.57,3.0
ALARK.IS,14,4,10,28.57,2.0
AHGAZ.IS,22,6,16,27.27,2.0
TTKOM.IS,15,4,11,26.67,1.0
BAGFS.IS,19,5,14,26.32,1.0
AKFGY.IS,12,3,9,25.0,0.0
ASTOR.IS,16,4,12,25.0,0.0
EUREN.IS,4,1,3,25.0,0.0
KONTR.IS,4,1,3,25.0,0.0
VESTL.IS,17,4,13,23.53,-1.0
ARCLK.IS,13,3,10,23.08,-1.0
QUAGR.IS,9,2,7,22.22,-1.0
EKGYO.IS,18,4,14,22.22,-2.0
EGEEN.IS,14,3,11,21.43,-2.0
YYLGD.IS,14,3,11,21.43,-2.0
FROTO.IS,19,4,15,21.05,-3.0
AGHOL.IS,10,2,8,20.0,-2.0
PETKM.IS,10,2,8,20.0,-2.0
ALBRK.IS,20,4,16,20.0,-4.0
ALFAS.IS,20,4,16,20.0,-4.0
ASUZU.IS,21,4,17,19.05,-5.0
GENIL.IS,21,4,17,19.05,-5.0
SMRTG.IS,16,3,13,18.75,-4.0
MAVI.IS,17,3,14,17.65,-5.0
YEOTK.IS,18,3,15,16.67,-6.0
ISGYO.IS,21,3,18,14.29,-9.0
KZBGY.IS,10,1,9,10.0,-6.0
IMASM.IS,4,0,4,0.0,-4.0
TUKAS.IS,4,0,4,0.0,-4.0
