Datetime,Close,High,Low,Open,Volume
2026-06-01 09:45:00,315.75,315.75,315.75,315.75,0
2026-06-01 10:00:00,332.75,332.75,311.5,316.0,7071197
2026-06-01 10:15:00,332.0,335.25,330.0,332.75,2984839
2026-06-01 10:30:00,330.5,333.25,330.25,331.75,1439924
2026-06-01 10:45:00,333.75,334.0,329.75,330.5,1241983
2026-06-01 11:00:00,332.5,335.75,332.0,334.0,1026985
2026-06-01 11:15:00,332.0,333.5,331.5,332.5,724968
2026-06-01 11:30:00,331.75,332.75,331.25,331.75,647088
2026-06-01 11:45:00,329.5,332.0,328.5,332.0,1295317
2026-06-01 12:00:00,327.75,330.0,327.25,329.5,815835
2026-06-01 12:15:00,326.75,328.0,326.5,327.75,431943
2026-06-01 12:30:00,327.0,328.75,326.75,326.75,685375
2026-06-01 12:45:00,328.75,329.75,326.75,327.0,313773
2026-06-01 13:00:00,330.5,330.5,328.75,328.75,335587
2026-06-01 13:15:00,329.0,330.75,328.75,330.5,299682
2026-06-01 13:30:00,325.75,329.5,325.25,329.25,1067317
2026-06-01 13:45:00,324.5,325.75,322.75,325.75,897351
2026-06-01 14:00:00,326.75,327.0,324.25,324.5,757362
2026-06-01 14:15:00,326.5,327.0,326.25,326.75,168561
2026-06-01 14:30:00,327.25,328.25,326.5,326.5,470363
2026-06-01 14:45:00,328.0,328.0,327.0,327.5,286728
2026-06-01 15:00:00,327.25,328.0,327.0,328.0,252368
2026-06-01 15:15:00,327.0,327.75,326.75,327.0,305191
2026-06-01 15:30:00,328.75,328.75,326.5,326.75,433626
2026-06-01 15:45:00,328.25,329.25,327.75,328.75,393600
2026-06-01 16:00:00,326.0,329.0,325.75,328.25,724984
2026-06-01 16:15:00,322.0,326.5,321.5,326.25,1487646
2026-06-01 16:30:00,325.5,326.75,320.25,322.25,1980850
2026-06-01 16:45:00,327.25,328.0,325.25,325.25,1655277
2026-06-01 17:00:00,324.5,327.75,324.25,327.5,1288729
2026-06-01 17:15:00,326.75,326.75,324.5,324.75,590269
2026-06-01 17:30:00,328.0,329.5,326.5,326.5,1405515
2026-06-01 17:45:00,331.0,331.75,327.75,328.0,1744268
2026-06-02 09:45:00,334.0,334.0,334.0,334.0,0
2026-06-02 10:00:00,343.0,343.75,331.75,334.0,4277726
2026-06-02 10:15:00,347.0,347.0,341.75,342.75,3570242
2026-06-02 10:30:00,345.75,347.25,344.75,347.0,1288297
2026-06-02 10:45:00,350.5,351.0,344.75,346.0,2148609
2026-06-02 11:00:00,348.75,351.75,348.25,350.75,1259871
2026-06-02 11:15:00,349.0,351.5,348.25,349.0,1047898
2026-06-02 11:30:00,350.0,350.0,348.5,349.0,462043
2026-06-02 11:45:00,355.5,357.0,349.5,349.75,2400611
2026-06-02 12:00:00,355.25,357.0,353.75,355.5,785821
2026-06-02 12:15:00,355.0,356.0,354.5,355.25,347020
2026-06-02 12:30:00,355.5,357.0,354.25,354.75,788484
2026-06-02 12:45:00,355.75,356.25,353.75,355.5,538469
2026-06-02 13:00:00,357.5,358.5,355.75,355.75,808538
2026-06-02 13:15:00,357.25,358.0,357.0,357.5,208508
2026-06-02 13:30:00,353.5,358.0,351.0,357.5,1354577
2026-06-02 13:45:00,354.5,354.5,350.75,353.75,928658
2026-06-02 14:00:00,357.0,358.25,354.25,354.5,869652
2026-06-02 14:15:00,357.5,358.5,356.75,356.75,437145
2026-06-02 14:30:00,356.25,358.75,355.0,357.5,747753
2026-06-02 14:45:00,359.0,359.5,356.25,356.25,861068
2026-06-02 15:00:00,362.0,363.5,358.5,358.75,4265794
2026-06-02 15:15:00,362.0,362.75,361.0,362.0,587475
2026-06-02 15:30:00,362.5,363.0,361.5,362.25,432276
2026-06-02 15:45:00,363.5,363.5,362.25,362.25,1722394
2026-06-02 16:00:00,363.5,363.5,363.5,363.5,64385
2026-06-02 16:15:00,363.5,363.5,362.0,363.5,912478
2026-06-02 16:30:00,363.5,363.5,363.5,363.5,31552
2026-06-02 16:45:00,363.5,363.5,363.5,363.5,96653
2026-06-02 17:00:00,363.5,363.5,363.5,363.5,120360
2026-06-02 17:15:00,363.5,363.5,363.5,363.5,26245
2026-06-02 17:30:00,363.5,363.5,363.5,363.5,24122
2026-06-02 17:45:00,363.5,363.5,363.5,363.5,53982
2026-06-03 09:45:00,367.0,367.0,367.0,367.0,0
2026-06-03 10:00:00,382.0,385.0,367.0,367.25,8555813
2026-06-03 10:15:00,384.25,385.75,381.75,382.25,2092652
2026-06-03 10:30:00,376.5,384.5,375.0,384.25,2766633
2026-06-03 10:45:00,377.0,378.25,375.75,376.5,1246714
2026-06-03 11:00:00,379.25,379.75,377.0,377.0,974660
2026-06-03 11:15:00,381.25,381.75,378.5,379.25,1077984
2026-06-03 11:30:00,378.25,381.75,378.0,381.0,624242
2026-06-03 11:45:00,383.25,383.5,377.5,378.5,1282207
2026-06-03 12:00:00,380.25,383.5,380.25,383.25,716658
2026-06-03 12:15:00,377.75,380.75,377.5,380.5,957341
2026-06-03 12:30:00,379.0,379.75,377.5,377.75,440740
2026-06-03 12:45:00,377.25,379.0,377.0,379.0,387726
2026-06-03 13:00:00,378.0,379.25,377.0,377.0,563221
2026-06-03 13:15:00,374.75,378.0,374.5,378.0,682576
2026-06-03 13:30:00,375.75,376.0,373.75,374.75,680408
2026-06-03 13:45:00,375.25,375.75,374.75,375.75,235869
2026-06-03 14:00:00,376.5,376.75,374.0,375.25,443454
2026-06-03 14:15:00,374.25,377.0,374.25,376.5,488145
2026-06-03 14:30:00,374.25,374.75,371.5,374.5,867419
2026-06-03 14:45:00,376.5,377.0,374.25,374.5,820335
2026-06-03 15:00:00,376.25,377.5,376.0,376.25,410481
2026-06-03 15:15:00,374.5,377.0,373.75,376.5,392958
2026-06-03 15:30:00,374.75,375.0,374.0,374.5,182657
2026-06-03 15:45:00,374.75,375.5,374.25,374.5,234838
2026-06-03 16:00:00,375.0,377.25,374.5,374.75,594173
2026-06-03 16:15:00,377.5,378.25,373.0,374.75,1059665
2026-06-03 16:30:00,375.75,377.75,375.0,377.5,891574
2026-06-03 16:45:00,374.0,376.75,372.5,375.75,1344191
2026-06-03 17:00:00,369.5,375.0,369.25,374.0,2228164
2026-06-03 17:15:00,359.5,369.75,359.5,369.5,4257789
2026-06-03 17:30:00,356.5,363.75,356.0,359.75,2985762
2026-06-03 17:45:00,355.0,359.5,355.0,356.5,2901214
2026-06-04 09:45:00,365.0,365.0,365.0,365.0,0
2026-06-04 10:00:00,361.5,367.75,357.25,364.5,6339606
2026-06-04 10:15:00,353.0,362.0,352.0,361.5,3464183
2026-06-04 10:30:00,353.5,357.5,350.0,352.75,2687008
2026-06-04 10:45:00,346.75,354.0,346.75,353.5,1091751
2026-06-04 11:00:00,340.25,348.0,340.0,346.5,2931577
