Datetime,Close,High,Low,Open,Volume
2026-06-01 09:45:00,537.5,537.5,537.5,537.5,0
2026-06-01 10:00:00,537.5,537.5,537.5,537.5,334698
2026-06-01 10:15:00,537.5,537.5,537.5,537.5,20316
2026-06-01 10:30:00,537.5,537.5,537.5,537.5,97386
2026-06-01 10:45:00,537.5,537.5,537.5,537.5,5754
2026-06-01 11:00:00,537.5,537.5,537.5,537.5,2795
2026-06-01 11:15:00,537.5,537.5,537.5,537.5,8960
2026-06-01 11:30:00,537.5,537.5,537.5,537.5,48436
2026-06-01 11:45:00,537.5,537.5,537.0,537.5,269890
2026-06-01 12:00:00,537.5,537.5,537.5,537.5,3887
2026-06-01 12:15:00,537.5,537.5,537.5,537.5,652
2026-06-01 12:30:00,537.5,537.5,537.5,537.5,1777
2026-06-01 12:45:00,537.5,537.5,537.5,537.5,3499
2026-06-01 13:00:00,537.5,537.5,537.5,537.5,7229
2026-06-01 13:15:00,537.5,537.5,537.5,537.5,3527
2026-06-01 13:30:00,537.5,537.5,537.5,537.5,6668
2026-06-01 13:45:00,537.5,537.5,537.5,537.5,1727
2026-06-01 14:00:00,537.5,537.5,537.5,537.5,222
2026-06-01 14:15:00,537.5,537.5,537.5,537.5,6956
2026-06-01 14:30:00,537.5,537.5,537.5,537.5,342
2026-06-01 14:45:00,537.5,537.5,537.5,537.5,18401
2026-06-01 15:00:00,537.5,537.5,537.5,537.5,616
2026-06-01 15:15:00,537.5,537.5,537.5,537.5,1387
2026-06-01 15:30:00,537.5,537.5,537.5,537.5,238
2026-06-01 15:45:00,537.5,537.5,537.5,537.5,309
2026-06-01 16:00:00,537.5,537.5,537.5,537.5,1438
2026-06-01 16:15:00,537.5,537.5,537.5,537.5,1965
2026-06-01 16:30:00,537.5,537.5,537.5,537.5,23050
2026-06-01 16:45:00,535.5,537.5,533.5,537.5,501703
2026-06-01 17:00:00,537.5,537.5,534.0,535.5,63528
2026-06-01 17:15:00,537.5,537.5,537.5,537.5,7646
2026-06-01 17:30:00,537.5,537.5,537.5,537.5,1360
2026-06-01 17:45:00,537.5,537.5,537.5,537.5,68798
2026-06-02 09:45:00,537.5,537.5,537.5,537.5,0
