Datetime,Close,High,Low,Open,Volume
2026-06-01 09:45:00,557.0,557.0,557.0,557.0,0
2026-06-01 10:00:00,561.5,565.5,557.0,557.0,110684
2026-06-01 10:15:00,562.5,565.5,561.0,561.5,105867
2026-06-01 10:30:00,558.0,563.0,555.5,562.5,54710
2026-06-01 10:45:00,559.0,559.5,556.0,558.0,49001
2026-06-01 11:00:00,556.0,559.0,555.5,559.0,53269
2026-06-01 11:15:00,555.5,557.0,553.0,556.0,46282
2026-06-01 11:30:00,559.5,559.5,555.5,555.5,41625
2026-06-01 11:45:00,557.5,559.5,557.0,559.5,14727
2026-06-01 12:00:00,559.5,561.0,558.0,558.0,46192
2026-06-01 12:15:00,558.0,560.0,557.0,560.0,15514
2026-06-01 12:30:00,558.0,558.5,557.5,557.5,5138
2026-06-01 12:45:00,557.5,558.5,557.5,558.0,17630
2026-06-01 13:00:00,558.0,558.0,557.0,557.5,21028
2026-06-01 13:15:00,557.5,558.5,557.0,558.0,18788
2026-06-01 13:30:00,556.5,559.5,556.0,557.5,32500
2026-06-01 13:45:00,554.0,556.5,553.5,556.0,46425
2026-06-01 14:00:00,554.0,555.0,553.0,553.5,24792
2026-06-01 14:15:00,552.5,557.5,551.5,554.0,66759
2026-06-01 14:30:00,553.0,553.5,551.5,552.5,28919
2026-06-01 14:45:00,552.5,554.0,551.5,553.0,32578
2026-06-01 15:00:00,551.5,553.0,551.0,552.5,31412
2026-06-01 15:15:00,550.5,552.0,547.0,552.0,42536
2026-06-01 15:30:00,553.5,553.5,549.5,550.5,54061
2026-06-01 15:45:00,552.0,554.0,551.0,553.5,25416
2026-06-01 16:00:00,548.5,553.5,547.5,551.5,70769
2026-06-01 16:15:00,541.0,550.0,540.0,549.0,99374
2026-06-01 16:30:00,540.5,541.5,537.0,540.0,71252
2026-06-01 16:45:00,536.5,541.5,536.0,540.5,38108
2026-06-01 17:00:00,541.5,545.5,535.0,536.0,84792
2026-06-01 17:15:00,541.0,544.0,540.0,542.0,58928
2026-06-01 17:30:00,540.5,542.0,540.0,541.0,39328
2026-06-01 17:45:00,540.0,543.5,539.0,540.5,123268
2026-06-02 09:45:00,542.5,542.5,542.5,542.5,0
2026-06-02 10:00:00,548.5,549.0,541.0,542.5,108075
2026-06-02 10:15:00,550.5,553.0,548.0,548.0,113101
2026-06-02 10:30:00,550.0,551.5,548.5,551.0,27119
2026-06-02 10:45:00,553.0,553.5,549.0,550.0,70137
2026-06-02 11:00:00,553.5,554.5,552.0,553.5,67443
2026-06-02 11:15:00,554.0,555.5,552.5,553.5,64840
2026-06-02 11:30:00,554.0,556.0,554.0,554.5,65084
2026-06-02 11:45:00,552.0,555.0,551.0,553.5,48390
2026-06-02 12:00:00,552.5,554.5,551.5,552.0,34286
2026-06-02 12:15:00,546.5,553.0,545.5,553.0,170660
2026-06-02 12:30:00,544.5,546.5,543.0,546.0,63466
2026-06-02 12:45:00,538.0,544.5,537.5,544.5,201104
2026-06-02 13:00:00,536.5,538.0,533.5,538.0,157719
2026-06-02 13:15:00,539.5,539.5,536.0,536.5,48005
2026-06-02 13:30:00,539.5,541.0,539.0,539.5,55950
2026-06-02 13:45:00,539.5,540.0,539.0,539.0,22123
2026-06-02 14:00:00,541.0,541.0,539.0,539.5,49861
2026-06-02 14:15:00,543.0,543.0,540.5,541.0,78877
2026-06-02 14:30:00,543.5,544.5,542.5,543.0,57062
2026-06-02 14:45:00,545.0,546.0,543.5,543.5,45151
2026-06-02 15:00:00,547.5,548.0,544.0,545.0,58835
2026-06-02 15:15:00,549.5,550.5,547.5,547.5,94134
2026-06-02 15:30:00,549.0,551.5,548.0,550.0,46918
2026-06-02 15:45:00,549.0,549.0,547.5,549.0,25554
2026-06-02 16:00:00,548.0,549.5,547.5,549.0,55198
2026-06-02 16:15:00,548.5,550.0,547.5,548.0,47919
2026-06-02 16:30:00,549.5,550.0,548.0,548.5,23359
2026-06-02 16:45:00,548.5,549.0,547.5,549.0,22175
2026-06-02 17:00:00,548.5,551.5,548.0,548.5,52360
2026-06-02 17:15:00,548.5,549.5,548.0,548.5,13538
2026-06-02 17:30:00,550.5,551.5,548.5,548.5,51557
2026-06-02 17:45:00,550.5,552.5,549.5,550.5,133561
2026-06-03 09:45:00,548.5,548.5,548.5,548.5,0
2026-06-03 10:00:00,545.5,548.5,540.0,548.5,193762
2026-06-03 10:15:00,548.0,549.0,545.0,546.0,89081
2026-06-03 10:30:00,542.0,547.5,541.0,547.5,119322
2026-06-03 10:45:00,540.5,542.5,540.0,541.5,98544
2026-06-03 11:00:00,540.5,541.5,538.5,540.0,81124
2026-06-03 11:15:00,541.5,542.0,539.5,540.5,28308
2026-06-03 11:30:00,539.0,543.0,536.0,541.5,72069
2026-06-03 11:45:00,538.5,539.0,537.0,539.0,36830
2026-06-03 12:00:00,538.0,538.5,537.0,538.0,30407
2026-06-03 12:15:00,537.5,538.5,536.5,537.5,12967
2026-06-03 12:30:00,538.5,539.5,536.5,538.0,22095
2026-06-03 12:45:00,536.5,539.0,536.5,538.5,23856
2026-06-03 13:00:00,539.5,541.5,536.0,537.0,76365
2026-06-03 13:15:00,539.0,540.0,538.0,540.0,9295
