Datetime,Close,High,Low,Open,Volume
2026-06-01 09:45:00,620.0,620.0,620.0,620.0,0
2026-06-01 10:00:00,612.5,619.0,610.0,619.0,9391
2026-06-01 10:15:00,614.5,620.0,611.5,612.5,3912
2026-06-01 10:30:00,620.5,620.5,613.0,615.0,2503
2026-06-01 10:45:00,625.5,625.5,620.5,620.5,2097
2026-06-01 11:00:00,626.5,627.0,625.0,625.0,1469
2026-06-01 11:15:00,628.5,633.0,626.5,626.5,5859
2026-06-01 11:30:00,630.0,630.5,626.0,628.0,9839
2026-06-01 11:45:00,627.0,631.0,626.5,630.0,9032
2026-06-01 12:00:00,626.5,628.0,626.5,626.5,1424
2026-06-01 12:15:00,628.0,628.5,626.0,626.5,7480
2026-06-01 12:30:00,629.5,629.5,628.0,628.5,155
2026-06-01 12:45:00,629.0,629.5,628.0,629.5,3206
2026-06-01 13:00:00,628.5,629.5,627.0,629.0,14100
2026-06-01 13:15:00,629.0,629.0,626.0,628.0,8711
2026-06-01 13:30:00,630.0,630.5,629.0,629.0,1111
2026-06-01 13:45:00,629.0,630.5,629.0,630.5,2302
2026-06-01 14:00:00,629.5,630.5,629.0,630.0,3414
2026-06-01 14:15:00,629.0,630.0,629.0,629.5,2136
2026-06-01 14:30:00,629.5,631.0,629.0,630.0,4421
2026-06-01 14:45:00,628.0,629.0,628.0,629.0,1773
2026-06-01 15:00:00,630.0,630.5,628.0,628.0,1326
2026-06-01 15:15:00,628.0,631.0,626.5,629.5,11397
2026-06-01 15:30:00,631.0,632.0,626.0,627.5,12882
2026-06-01 15:45:00,630.5,631.5,630.5,631.0,873
2026-06-01 16:00:00,629.5,631.5,629.5,631.5,5579
2026-06-01 16:15:00,630.0,630.5,629.5,630.5,488
2026-06-01 16:30:00,629.0,630.0,628.5,629.5,3019
2026-06-01 16:45:00,630.0,630.0,629.5,629.5,227
2026-06-01 17:00:00,629.0,630.0,628.5,630.0,1434
2026-06-01 17:15:00,629.0,629.5,628.0,629.0,2091
2026-06-01 17:30:00,627.5,629.0,627.5,629.0,3840
2026-06-01 17:45:00,626.5,628.5,625.5,628.5,12606
2026-06-02 09:45:00,628.0,628.0,628.0,628.0,0
2026-06-02 10:00:00,631.0,631.5,628.0,630.0,3862
2026-06-02 10:15:00,628.0,630.5,627.0,630.5,2627
2026-06-02 10:30:00,626.0,630.0,626.0,629.0,797
2026-06-02 10:45:00,625.0,627.0,625.0,626.0,1469
2026-06-02 11:00:00,627.5,627.5,625.0,626.5,2031
2026-06-02 11:15:00,626.0,628.5,626.0,628.5,566
2026-06-02 11:30:00,626.0,626.5,625.5,625.5,1353
2026-06-02 11:45:00,626.5,627.0,626.0,626.0,602
2026-06-02 12:00:00,627.0,627.0,626.0,626.0,4156
2026-06-02 12:15:00,626.0,626.0,625.0,625.5,519
2026-06-02 12:30:00,627.0,627.0,626.0,627.0,277
2026-06-02 12:45:00,625.5,626.0,625.0,626.0,985
2026-06-02 13:00:00,625.0,626.0,625.0,625.5,235
2026-06-02 13:15:00,625.5,626.0,625.0,625.0,645
2026-06-02 13:30:00,625.5,626.0,625.0,625.0,418
2026-06-02 13:45:00,625.0,625.5,625.0,625.0,118
2026-06-02 14:00:00,624.5,625.0,624.0,625.0,2655
2026-06-02 14:15:00,626.0,628.0,625.0,625.0,6520
2026-06-02 14:30:00,626.0,626.0,625.5,626.0,752
2026-06-02 14:45:00,626.5,627.5,626.5,627.0,810
2026-06-02 15:00:00,626.0,627.0,626.0,626.5,59
2026-06-02 15:15:00,626.0,626.0,626.0,626.0,154
2026-06-02 15:30:00,626.5,626.5,626.0,626.0,40
2026-06-02 15:45:00,626.5,626.5,626.5,626.5,20
2026-06-02 16:00:00,625.5,626.5,625.5,626.5,1722
2026-06-02 16:15:00,624.0,627.0,623.5,625.5,17551
2026-06-02 16:30:00,624.0,624.5,624.0,624.0,1030
2026-06-02 16:45:00,624.0,624.5,623.5,624.5,2726
2026-06-02 17:00:00,624.5,625.0,624.0,624.0,69
2026-06-02 17:15:00,624.0,624.5,624.0,624.5,1584
2026-06-02 17:30:00,623.0,624.5,622.0,624.0,12977
2026-06-02 17:45:00,622.0,624.5,621.0,623.0,16536
2026-06-03 09:45:00,623.0,623.0,623.0,623.0,0
2026-06-03 10:00:00,631.0,633.0,617.0,622.5,22176
2026-06-03 10:15:00,631.0,632.0,630.5,631.0,4704
2026-06-03 10:30:00,632.5,634.0,630.5,631.0,9891
2026-06-03 10:45:00,633.0,633.0,631.0,632.5,2236
2026-06-03 11:00:00,631.0,633.5,630.5,632.5,2615
2026-06-03 11:15:00,631.0,631.5,630.0,630.0,1021
2026-06-03 11:30:00,631.0,632.0,630.0,631.0,1892
2026-06-03 11:45:00,631.0,631.5,630.0,631.0,1155
2026-06-03 12:00:00,630.5,631.5,630.0,630.5,961
2026-06-03 12:15:00,631.0,631.5,630.0,631.0,3542
2026-06-03 12:30:00,631.0,632.0,630.5,630.5,1969
2026-06-03 12:45:00,630.5,631.5,630.5,631.0,91
2026-06-03 13:00:00,635.5,636.0,632.0,632.0,2791
2026-06-03 13:15:00,636.5,636.5,635.0,636.0,1435
2026-06-03 13:30:00,633.5,637.5,632.0,636.5,4796
2026-06-03 13:45:00,633.5,634.0,633.0,633.5,562
2026-06-03 14:00:00,634.0,634.0,632.0,632.5,1140
2026-06-03 14:15:00,632.5,634.0,631.0,634.0,6550
2026-06-03 14:30:00,631.0,633.5,630.5,632.5,4759
2026-06-03 14:45:00,631.5,631.5,630.0,630.5,4688
2026-06-03 15:00:00,630.0,631.5,630.0,631.5,5559
2026-06-03 15:15:00,631.5,634.0,629.5,631.0,12075
2026-06-03 15:30:00,631.0,631.5,630.0,631.5,7585
2026-06-03 15:45:00,631.0,631.5,629.5,631.0,1023
2026-06-03 16:00:00,629.5,631.0,629.5,631.0,65
2026-06-03 16:15:00,631.5,632.5,629.0,629.5,5866
2026-06-03 16:30:00,631.0,632.5,630.5,631.0,3773
2026-06-03 16:45:00,632.5,632.5,629.5,631.0,5944
2026-06-03 17:00:00,632.0,632.5,631.0,632.5,1092
2026-06-03 17:15:00,631.5,632.5,631.0,632.0,2989
2026-06-03 17:30:00,629.0,633.0,629.0,631.5,59238
2026-06-03 17:45:00,627.5,631.0,627.0,629.0,20514
2026-06-04 09:45:00,627.0,627.0,627.0,627.0,0
2026-06-04 10:00:00,626.5,630.0,625.0,627.0,4095
2026-06-04 10:15:00,625.0,628.5,625.0,627.5,3705
2026-06-04 10:30:00,623.5,626.0,623.5,626.0,3929
2026-06-04 10:45:00,624.0,625.0,623.5,624.0,1238
2026-06-04 11:00:00,630.0,630.5,624.5,624.5,17012
2026-06-04 11:15:00,631.0,631.5,627.5,629.5,19123
2026-06-04 11:30:00,635.0,635.0,631.0,631.5,5811
2026-06-04 11:45:00,640.0,642.5,634.5,634.5,7749
2026-06-04 12:00:00,638.5,640.5,638.5,639.5,3722
2026-06-04 12:15:00,640.0,640.0,638.5,639.5,1756
2026-06-04 12:30:00,640.5,642.0,640.0,640.0,5626
2026-06-04 12:45:00,641.0,641.5,640.0,640.5,3314
2026-06-04 13:00:00,640.5,641.0,640.5,641.0,279
2026-06-04 13:15:00,638.5,641.5,638.5,641.5,4646
2026-06-04 13:30:00,637.5,639.5,637.5,638.5,2548
2026-06-04 13:45:00,642.5,642.5,637.0,637.5,5324
2026-06-04 14:00:00,646.0,646.0,642.5,643.0,7088
2026-06-04 14:15:00,647.0,647.0,644.5,646.0,8161
2026-06-04 14:30:00,646.5,648.0,645.0,647.0,9846
2026-06-04 14:45:00,647.5,648.0,646.5,647.0,2939
2026-06-04 15:00:00,647.0,647.0,646.0,646.5,1128
2026-06-04 15:15:00,646.5,647.0,646.0,646.5,631
2026-06-04 15:30:00,647.5,647.5,646.5,646.5,1302
2026-06-04 15:45:00,646.0,647.5,646.0,647.5,817
2026-06-04 16:00:00,646.5,647.0,645.0,646.5,5209
2026-06-04 16:15:00,646.0,647.5,646.0,646.0,3255
2026-06-04 16:30:00,647.5,647.5,645.5,646.0,1886
2026-06-04 16:45:00,647.0,648.5,646.5,646.5,3760
2026-06-04 17:00:00,646.5,647.5,645.5,647.5,3355
2026-06-04 17:15:00,647.0,647.0,645.5,646.5,1011
2026-06-04 17:30:00,646.5,647.5,646.0,647.5,1426
2026-06-04 17:45:00,646.5,647.0,645.0,646.5,11227
2026-06-05 09:45:00,636.0,636.0,636.0,636.0,0
2026-06-05 10:00:00,640.5,641.0,638.0,641.0,2989
2026-06-05 10:15:00,640.5,641.0,639.5,640.5,2504
2026-06-05 10:30:00,638.0,640.5,634.0,640.0,11141
2026-06-05 10:45:00,641.0,644.0,638.0,638.5,7918
2026-06-05 11:00:00,638.0,641.0,637.5,641.0,880
2026-06-05 11:15:00,641.0,643.0,636.0,637.5,2307
2026-06-05 11:30:00,642.5,644.5,639.5,640.5,3811
2026-06-05 11:45:00,643.5,643.5,643.0,643.0,739
2026-06-05 12:00:00,642.5,643.5,641.0,643.0,1085
2026-06-05 12:15:00,641.0,641.5,641.0,641.5,498
2026-06-05 12:30:00,641.0,642.0,640.5,642.0,1875
2026-06-05 12:45:00,641.5,642.0,641.5,642.0,338
2026-06-05 13:00:00,641.0,642.0,641.0,642.0,1741
2026-06-05 13:15:00,641.5,642.0,641.0,641.5,404
2026-06-05 13:30:00,641.5,641.5,641.0,641.5,483
2026-06-05 13:45:00,642.5,642.5,641.5,642.0,571
2026-06-05 14:00:00,644.5,644.5,643.5,643.5,25
2026-06-05 14:15:00,643.0,644.5,643.0,644.5,640
2026-06-05 14:30:00,644.5,645.0,642.5,643.0,1074
2026-06-05 14:45:00,646.0,646.0,643.5,644.5,1103
2026-06-05 15:00:00,646.5,646.5,645.0,646.0,551
2026-06-05 15:15:00,644.0,646.5,644.0,646.5,1266
2026-06-05 15:30:00,645.5,645.5,645.0,645.5,632
2026-06-05 15:45:00,647.5,647.5,644.5,645.0,1837
2026-06-05 16:00:00,646.0,647.5,646.0,647.5,2146
2026-06-05 16:15:00,647.0,647.0,646.5,647.0,312
2026-06-05 16:30:00,647.5,647.5,645.0,646.5,2821
2026-06-05 16:45:00,646.5,647.5,646.5,647.5,102
2026-06-05 17:00:00,646.5,649.0,646.5,646.5,4263
2026-06-05 17:15:00,647.0,648.5,646.5,646.5,1886
2026-06-05 17:30:00,645.5,647.0,645.5,647.0,3294
2026-06-05 17:45:00,644.5,647.0,644.5,645.5,6558
2026-06-08 09:45:00,645.0,645.0,645.0,645.0,0
2026-06-08 10:00:00,653.5,654.0,648.0,649.0,6571
2026-06-08 10:15:00,652.0,654.5,652.0,653.5,4323
2026-06-08 10:30:00,652.0,654.0,651.0,652.0,1836
2026-06-08 10:45:00,652.0,652.0,650.5,652.0,882
2026-06-08 11:00:00,651.0,653.0,650.0,652.0,1434
2026-06-08 11:15:00,651.0,651.0,651.0,651.0,269
2026-06-08 11:30:00,650.0,651.0,649.5,651.0,667
2026-06-08 11:45:00,650.0,650.5,647.5,650.5,5430
2026-06-08 12:00:00,648.5,650.0,647.5,650.0,762
2026-06-08 12:15:00,649.0,649.0,647.0,647.5,2490
2026-06-08 12:30:00,649.0,649.5,648.0,649.5,92
2026-06-08 12:45:00,649.5,649.5,647.5,648.5,1267
2026-06-08 13:00:00,649.5,649.5,648.5,649.0,517
2026-06-08 13:15:00,649.5,649.5,649.0,649.0,140
2026-06-08 13:30:00,650.5,650.5,649.0,650.0,327
2026-06-08 13:45:00,650.5,650.5,648.5,649.0,955
2026-06-08 14:00:00,651.5,652.0,650.0,651.0,3102
2026-06-08 14:15:00,651.5,652.0,651.0,652.0,734
2026-06-08 14:30:00,648.0,651.0,648.0,651.0,6590
2026-06-08 14:45:00,651.5,652.0,648.0,649.0,2136
2026-06-08 15:00:00,650.0,653.0,649.0,651.0,11335
2026-06-08 15:15:00,649.5,650.0,649.0,650.0,5610
2026-06-08 15:30:00,647.5,649.5,647.0,649.5,15122
2026-06-08 15:45:00,641.5,647.5,641.0,647.5,27540
2026-06-08 16:00:00,638.0,643.0,638.0,641.0,11175
2026-06-08 16:15:00,646.5,648.0,638.5,638.5,13775
2026-06-08 16:30:00,646.5,647.5,646.0,647.5,786
2026-06-08 16:45:00,646.5,647.0,646.5,647.0,471
2026-06-08 17:00:00,646.0,647.0,646.0,646.5,340
2026-06-08 17:15:00,646.0,646.5,645.5,646.0,2332
2026-06-08 17:30:00,645.0,646.5,644.0,645.0,8438
2026-06-08 17:45:00,638.0,645.0,636.5,645.0,28604
2026-06-09 09:45:00,637.0,637.0,637.0,637.0,0
2026-06-09 10:00:00,641.5,643.0,637.5,642.0,3180
2026-06-09 10:15:00,639.0,641.5,639.0,640.0,1876
2026-06-09 10:30:00,637.5,642.0,637.5,639.0,2676
2026-06-09 10:45:00,642.0,642.0,637.5,637.5,2469
2026-06-09 11:00:00,640.0,642.0,640.0,642.0,566
2026-06-09 11:15:00,640.5,643.0,640.0,640.0,1839
