Datetime,Close,High,Low,Open,Volume
2026-06-01 09:45:00,369.25,369.25,369.25,369.25,0
2026-06-01 10:00:00,370.75,371.25,368.5,369.5,39373
2026-06-01 10:15:00,370.75,371.5,370.25,370.75,27142
2026-06-01 10:30:00,369.5,370.75,369.25,370.75,24778
2026-06-01 10:45:00,370.5,370.5,369.0,369.5,33315
2026-06-01 11:00:00,370.5,371.0,369.5,370.5,14840
2026-06-01 11:15:00,371.5,373.25,369.5,370.5,53171
2026-06-01 11:30:00,371.25,371.75,370.75,371.25,9237
2026-06-01 11:45:00,376.75,379.75,370.0,371.25,144386
2026-06-01 12:00:00,375.25,378.75,374.25,376.5,61581
2026-06-01 12:15:00,375.25,376.0,374.0,375.5,26385
2026-06-01 12:30:00,374.25,375.5,374.0,375.25,15084
2026-06-01 12:45:00,373.25,374.0,373.0,374.0,17809
2026-06-01 13:00:00,373.25,373.5,372.75,373.5,7690
2026-06-01 13:15:00,372.5,373.25,372.25,373.25,19723
2026-06-01 13:30:00,373.0,374.0,372.25,372.5,24158
2026-06-01 13:45:00,373.5,373.5,373.0,373.0,7558
2026-06-01 14:00:00,375.5,377.25,373.25,373.5,63623
2026-06-01 14:15:00,376.5,377.0,374.75,375.5,20396
2026-06-01 14:30:00,375.25,376.75,375.25,376.5,7354
2026-06-01 14:45:00,375.0,375.5,373.75,375.5,7085
2026-06-01 15:00:00,374.5,375.0,373.75,374.75,15516
2026-06-01 15:15:00,373.5,374.5,373.0,374.5,10233
2026-06-01 15:30:00,374.75,374.75,373.75,373.75,8710
2026-06-01 15:45:00,374.5,375.0,374.25,375.0,8255
2026-06-01 16:00:00,373.5,374.75,372.75,374.5,15004
2026-06-01 16:15:00,371.0,373.75,370.75,373.5,15987
2026-06-01 16:30:00,371.25,372.75,369.75,371.25,15537
2026-06-01 16:45:00,369.5,371.5,369.5,371.0,15594
2026-06-01 17:00:00,371.0,371.25,369.0,369.5,16338
2026-06-01 17:15:00,370.75,371.75,370.25,371.0,14030
2026-06-01 17:30:00,370.5,371.5,370.25,371.0,5428
2026-06-01 17:45:00,369.75,371.0,369.5,370.5,18307
2026-06-02 09:45:00,371.5,371.5,371.5,371.5,0
2026-06-02 10:00:00,372.0,373.25,371.0,372.0,30940
2026-06-02 10:15:00,371.75,372.75,371.25,372.0,26161
2026-06-02 10:30:00,371.75,372.25,371.25,371.75,15315
2026-06-02 10:45:00,371.75,372.0,370.75,371.5,31578
2026-06-02 11:00:00,371.75,372.25,371.5,372.0,37313
2026-06-02 11:15:00,370.5,371.75,370.5,371.75,15094
2026-06-02 11:30:00,370.5,372.25,370.25,370.75,10716
2026-06-02 11:45:00,369.75,371.0,369.5,370.75,46910
2026-06-02 12:00:00,370.0,370.5,369.75,369.75,47772
2026-06-02 12:15:00,369.75,370.5,369.75,370.0,19992
2026-06-02 12:30:00,369.5,370.5,368.75,369.75,31516
2026-06-02 12:45:00,369.0,369.5,368.5,369.5,18726
2026-06-02 13:00:00,369.25,369.25,368.75,368.75,9792
2026-06-02 13:15:00,368.75,369.25,368.75,369.25,5202
2026-06-02 13:30:00,369.5,369.5,368.75,368.75,3233
2026-06-02 13:45:00,369.25,369.75,369.25,369.5,6535
2026-06-02 14:00:00,370.0,370.0,369.25,369.25,5364
2026-06-02 14:15:00,370.0,370.25,369.75,370.25,7286
2026-06-02 14:30:00,369.75,370.75,369.75,370.0,10004
2026-06-02 14:45:00,370.75,371.75,369.25,370.0,32500
2026-06-02 15:00:00,371.25,371.25,370.0,370.5,18961
2026-06-02 15:15:00,371.0,371.75,370.25,371.25,11878
2026-06-02 15:30:00,370.75,371.0,370.0,371.0,9450
2026-06-02 15:45:00,372.25,372.25,370.75,370.75,19002
2026-06-02 16:00:00,371.25,372.25,371.0,371.75,21121
2026-06-02 16:15:00,371.5,372.0,371.0,371.5,12513
2026-06-02 16:30:00,371.25,372.25,371.25,371.5,13300
2026-06-02 16:45:00,371.75,371.75,371.25,371.5,13629
2026-06-02 17:00:00,371.75,372.5,371.25,371.25,15400
2026-06-02 17:15:00,371.0,371.5,371.0,371.25,12678
2026-06-02 17:30:00,371.5,371.75,371.0,371.0,18442
2026-06-02 17:45:00,372.0,372.25,371.25,371.5,35256
2026-06-03 09:45:00,372.75,372.75,372.75,372.75,0
2026-06-03 10:00:00,378.5,380.25,372.5,372.75,324037
2026-06-03 10:15:00,380.0,380.5,378.25,378.25,108264
2026-06-03 10:30:00,378.75,380.0,378.5,380.0,34753
2026-06-03 10:45:00,377.5,378.75,376.75,378.75,46702
2026-06-03 11:00:00,377.25,377.75,376.5,377.25,19940
2026-06-03 11:15:00,377.0,377.75,376.75,377.25,9454
2026-06-03 11:30:00,378.25,378.75,376.5,377.5,28429
2026-06-03 11:45:00,379.75,380.0,377.75,378.25,48403
2026-06-03 12:00:00,381.5,382.0,379.25,380.0,65708
2026-06-03 12:15:00,381.25,382.75,380.25,381.5,57213
2026-06-03 12:30:00,382.0,382.25,380.75,381.0,20963
2026-06-03 12:45:00,380.75,382.0,380.5,381.75,12440
2026-06-03 13:00:00,380.75,381.5,380.25,380.75,26356
2026-06-03 13:15:00,380.75,381.0,379.75,381.0,12313
2026-06-03 13:30:00,381.5,381.75,380.25,380.75,28759
2026-06-03 13:45:00,381.0,382.0,381.0,381.75,8853
2026-06-03 14:00:00,379.75,381.25,379.25,381.0,31350
2026-06-03 14:15:00,379.5,380.0,378.75,380.0,22382
2026-06-03 14:30:00,379.0,380.0,378.75,379.5,7813
2026-06-03 14:45:00,380.0,380.25,379.0,379.25,12728
2026-06-03 15:00:00,379.0,380.0,378.5,379.75,6287
2026-06-03 15:15:00,378.0,379.5,378.0,379.0,13398
2026-06-03 15:30:00,378.0,378.25,377.5,378.25,8480
2026-06-03 15:45:00,376.25,378.25,376.25,378.25,25999
2026-06-03 16:00:00,375.5,377.25,375.5,376.25,34069
2026-06-03 16:15:00,375.5,375.75,373.5,375.5,34885
2026-06-03 16:30:00,374.25,375.75,373.75,375.25,15886
2026-06-03 16:45:00,374.25,375.25,373.75,374.25,25517
2026-06-03 17:00:00,374.25,375.0,373.75,374.25,13617
2026-06-03 17:15:00,372.0,374.75,371.5,374.5,47312
2026-06-03 17:30:00,372.0,372.5,371.25,372.25,42042
2026-06-03 17:45:00,371.75,372.25,371.25,372.0,37556
2026-06-04 09:45:00,376.5,376.5,376.5,376.5,0
2026-06-04 10:00:00,382.75,387.0,376.5,376.75,274966
2026-06-04 10:15:00,385.5,387.75,382.25,382.75,167734
2026-06-04 10:30:00,381.75,386.25,381.75,385.75,48012
2026-06-04 10:45:00,382.5,384.75,381.75,382.0,49255
